station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0UA30,2019/8/30 00:00,1397,174,0.3,19.7,0.99,860.5,-99,58,-99,-99,-99,26,,17.7,
C0M520,2019/8/30 00:00,15,192,1.3,26.1,0.91,1006.7,-99,24,-99,-99,-99,31.7,,24.2,
C0A530,2019/8/30 00:00,300,0,0,25.2,0.99,975.4,-99,0,-99,-99,-99,32.7,,24.7,
C0E820,2019/8/30 00:00,220,172,0.4,25.8,0.91,984.4,-99,0,-99,-99,-99,32.1,,24.1,
C0K450,2019/8/30 00:00,35,0,0,27.1,0.82,1004.3,-99,0,-99,-99,-99,33.5,,26.5,
C0G760,2019/8/30 00:00,53,179,0.5,28.1,0.99,1005.1,-99,0,-99,-99,-99,32.9,,26.7,
CM0120,2019/8/30 00:00,4,177,2.3,27.9,0.82,1008.3,-99,0,-99,-99,-99,31.5,,27.7,
C0Z290,2019/8/30 00:00,946,173,1.3,21.2,0.99,907.6,-99,8,-99,-99,-99,27.8,,21.1,
C0V680,2019/8/30 00:00,40,128,0.8,27.6,0.87,1004.5,-99,4,-99,-99,-99,31.9,,26.7,
C0F9U0,2019/8/30 00:00,74,258,0.5,29.4,0.77,1000.7,-99,0,-99,-99,-99,33.6,,27.9,
C0AI10,2019/8/30 00:00,76,192,0.3,27.3,0.93,999.7,-99,0,-99,-99,-99,34.7,,25.7,
C0V530,2019/8/30 00:00,34,63,0.6,26.6,1,1004.7,-99,4,-99,-99,-99,32.5,,26.2,
C0R550,2019/8/30 00:00,38,39,1.2,26.3,0.93,1005.5,-99,0,-99,-99,-99,32.7,,26.2,
C0F9L0,2019/8/30 00:00,253,160,0.8,28.1,0.87,980.4,-99,0,-99,-99,-99,31.7,,27.1,
C0A950,2019/8/30 00:00,60,162,4.6,27,0.91,1002.1,-99,0,-99,-99,-99,29.8,,27,
C0R160,2019/8/30 00:00,45,23,0.8,26.3,0.99,1003.4,-99,0,-99,-99,-99,32.5,,26.1,
C0F9S0,2019/8/30 00:00,43,154,1.8,29.3,0.76,1004.1,-99,0,-99,-99,-99,33.4,,27.8,
C0M820,2019/8/30 00:00,980,50,0.4,19.2,0.93,904.4,-99,13,-99,-99,-99,27.3,,19.1,
C0Z300,2019/8/30 00:00,182,156,1,24.6,0.99,990.5,-99,1,-99,-99,-99,32.4,,24.4,
C0G870,2019/8/30 00:00,12,168,1.3,27.3,0.9,1008.2,-99,0,-99,-99,-99,32.8,,26.6,
C0R530,2019/8/30 00:00,16,111,1.2,27.4,0.75,1007,-99,0,-99,-99,-99,30.5,,27,
C0O840,2019/8/30 00:00,134,133,1.1,25.5,1,992.9,-99,46.5,-99,-99,-99,32.1,,23.6,
C0A890,2019/8/30 00:00,40,0,0,26.6,0.92,1003.5,-99,0,-99,-99,-99,33.8,,26.6,
C0B020,2019/8/30 00:00,86,157,1,28.7,0.99,997,-99,0,-99,-99,-99,33.8,,27.8,
C0A660,2019/8/30 00:00,97,0,0,26.8,1,996.9,-99,0,-99,-99,-99,34.1,,26.8,
C0T9H0,2019/8/30 00:00,725,230,0.9,22.9,0.99,931.1,-99,57.5,-99,-99,-99,29.3,,21.8,
C0R270,2019/8/30 00:00,51,156,1.3,26.4,1,1002.4,-99,0,-99,-99,-99,31.6,,26.3,
C0O980,2019/8/30 00:00,18,0,0.1,26.2,0.95,1007.9,-99,0,-99,-99,-99,33.9,,26.2,
